candidate_id,accreditation_id,university,program_name,degree,specialty,stage_id,completed,dual_guess,accreditation_decision,naqa_decision,possible_solution,has_es_summary,has_ger,has_naqa_decision,se_status,error
12686,14750,"Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""",Середня освіта (Англійська мова та зарубіжна література). Психологія,MA,014,600,False,True,,,,False,False,False,2.1 Справа на розгляді керівника ЗВО,
12667,14751,Харківський національний педагогічний університет імені Г.С. Сковороди,"Українська мова і література, англійська мова в закладах освіти",MA,014,600,False,False,,,,False,False,False,2.1 Справа на розгляді керівника ЗВО,
12364,14167,Тернопільський національний педагогічний університет імені Володимира Гнатюка,"Середня освіта (Польська мова і література, українська мова і література)",MA,014,2700,True,False,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
12361,14221,Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка,Середня освіта (Трудове навчання та технології. Інформатика),MA,014,2700,True,True,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
12352,14173,Тернопільський національний педагогічний університет імені Володимира Гнатюка,"Середня освіта (Французька мова та література, англійська мова та література, зарубіжна література)",MA,014,2700,True,False,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
12309,14352,"Державний вищий навчальний заклад ""Ужгородський національний університет""",Українська мова і література. Англійська мова і література,MA,014,2700,True,True,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
12270,14088,Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»,середня освіта (Трудове навчання та технології. Інформатика),MA,014,2700,True,True,2,2,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
12248,13989,Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка,"Середня освіта (Німецька, англійська/польська мови та зарубіжна література)",MA,014,2700,True,False,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
12244,13987,Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка,"Середня освіта (Англійська, німецька/польська мови та зарубіжна література)",MA,014,2700,True,False,5,4,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
12237,14043,Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка,Середня освіта (Українська мова і література. Історія),MA,014,2700,True,True,2,2,1,True,True,True,6.1 Програма візиту направлена на погодження до ЗВО,
